,Customer_name,Description,Material Group,Invoice_Quantity,Unit_Weight(Grams),Part_Size,Net_Weight(KG),Sales_Amount_(INR),Material_Cost,Sales_Person,Sub_Group,Sub_Group_Description,clusters,Clus_kmeans,sil_width
272,SANDEEP ENGINEERING,HHB M16X60 GR 10.9 BLACK*,HEX HEAD,1000,121.52,Extra Heavy,121.52,19140,20310,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,14,0,0.659338828
273,UNIVERSAL PRECISION SCREWS,HHS M20X80 GR 10.9 BLACK*,HEX HEAD,500,239.9,Extra Heavy,119.95,18830,19005,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,14,0,0.390863759
274,SANGHVI ENTERPRISES,SHCS M6X75 12.9 H/T BLACK*,SHCS,2000,18.7,Medium,37.4,18540.37,6080,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.789370153
275,BHARAT BOLT AGENCIES,SHCS M6  x  20 12.9 F/T BLACK *,SHCS,8965,6.52983826,Medium,58.54,18536.93,8785.7,JYOTI KAWATRA,SHCS,ALLOY STEEL,13,0,0.598849473
276,YES TECHNO LTD,HHB M24X120 GR 10.9 BLACK*,HEX HEAD,204,517.5,Extra Heavy,105.57,18489.89,15928.32,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,14,2,0.530150319
277,GREENTECH INDUSTRIES INDIA PVT LTD,SOCKET PLUG M12 X 1.5 -6h ZTVWP *,SPL,1000,10.1,Medium,10.1,18050,6390,MONIKA DUA,SPL,ALLOY STEEL,8,0,0.794297189
278,GAUTAM TRADING CO.,SHCS M10  x  40 12.9 F/T BLACK *,SHCS,3000,32.9,Heavy,98.7,17992.72,15060,JYOTI KAWATRA,SHCS,ALLOY STEEL,14,0,0.739744952
279,SUNSHINE AGENCIES (INDIA) LLP,SHCS M12  x  200 12.9 H/T BLACK *,SHCS,200,195,Extra Heavy,39,17978.52,5948,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.577468031
280,MOGLI LABS (INDIA) PVT LTD,SHCS M24X80 12.9 F/T BLACK*,SHCS,195,399.025641,Extra Heavy,77.81,17859.46,12579.45,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,2,0.320549159
281,VIKAS INDUSTRIAL SUPPLERS PVT LTD,HHB M10X40 GR 10.9 BLACK*,HEX HEAD,3200,31.809375,Heavy,101.79,17830.8,17440,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,14,0,0.728219392
282,UNIVERSAL PRECISION SCREWS,HHS M10X25 GR 10.9 BLACK*,HEX HEAD,5000,23.21,Medium,116.05,17808,20650,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,14,0,0.677206256
283,MANOJ TRADERS,HHS M6X25 GR 10.9 BLACK*,HEX HEAD,10000,6.94,Medium,69.4,17780,8400,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,13,0,0.56856367
284,UNIVERSAL PRECISION SCREWS,HHB M20X150 GR 10.9 BLACK*,HEX HEAD,300,418.3,Extra Heavy,125.49,17482.92,19140,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,14,2,0.347348001
285,MANOJ TRADERS,HHB M24X80 GR 10.9 BLACK*,HEX HEAD,244,377.4180328,Extra Heavy,92.09,17457.09,16372.4,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,14,2,0.232480126
